car_name,MSRP
2015AudiA4,"$19,995"
2014AudiA5,"$20,995"
2017AudiQ5,"$28,995"
2012AudiS4,"$22,995"
2014AudiS5,"$29,995"
2014AudiS6,"$34,995"
2013AudiS7,"$34,995"
2018BMW3-Series,"$32,995"
2015BMW3-Series,"$29,995"
2013BMW3-Series,"$16,995"
2015BMW4Series,"$34,995"
2013BMW7-Series,"$17,995"
2012BMWX1,"$12,995"
2017BMWX4,"$34,995"
2018HondaAccord,"$28,995"
2008HyundaiSantaFe,"$9,995"
2016JeepCompass,"$19,995"
2008LandRoverRangeRover,"$13,995"
2014LandRoverRangeRoverEvoque,"$30,995"
2012LandRoverRangeRoverSport,"$26,995"
2016Mercedes-BenzC-Class,"$28,495"
2016Mercedes-BenzCLS,"$34,995"
2017Mercedes-BenzE-Class,"$36,995"
2017MiniCooperClubman,"$20,995"
2016VolkswagenGolfGTI,"$23,995"
2016VolvoV60,"$27,995"
2016VolvoXC60,"$29,995"
2016VolvoXC90,"$36,995"
